station,window_scale,start_idx,end_idx,start_time,end_time,pc1,pc2
4101872,12,120,131,2025-01-17 08:00:00,2025-01-17 19:00:00,-0.7694161380235901,0.07409616739184216
4101872,12,132,143,2025-01-17 20:00:00,2025-01-18 07:00:00,-0.9416704673291851,0.25618089340950895
4101872,12,144,155,2025-01-18 08:00:00,2025-01-18 19:00:00,-0.6879864585826051,-0.008439207103146494
4101872,12,156,167,2025-01-18 20:00:00,2025-01-19 07:00:00,-0.8696201071653554,0.18097721546735254
4101872,12,168,179,2025-01-19 08:00:00,2025-01-19 19:00:00,-0.8542429300498335,0.16519618482707488
4101872,12,180,191,2025-01-19 20:00:00,2025-01-20 07:00:00,-0.9072179165293364,0.2203941770547937
4101872,12,192,203,2025-01-20 08:00:00,2025-01-20 19:00:00,-0.7369429412427373,0.04128168510190305
4101872,12,204,215,2025-01-20 20:00:00,2025-01-21 07:00:00,-0.9094441773507296,0.2232574006908029
4101872,12,216,227,2025-01-21 08:00:00,2025-01-21 19:00:00,-0.8672267545098417,0.17841632820209033
4101872,12,228,239,2025-01-21 20:00:00,2025-01-22 07:00:00,-0.9231142323350373,0.23738103487867404
4101872,12,240,251,2025-01-22 08:00:00,2025-01-22 19:00:00,-0.8038503734209692,0.11237423230761462
4101872,12,252,263,2025-01-22 20:00:00,2025-01-23 07:00:00,-0.9206942525841473,0.23516892779877732
4101872,12,264,275,2025-01-23 08:00:00,2025-01-23 19:00:00,-0.7028229807476677,0.003699964700725939
4101872,12,276,287,2025-01-23 20:00:00,2025-01-24 07:00:00,-0.9647352535270529,0.2823331622520258
4101872,12,288,299,2025-01-24 08:00:00,2025-01-24 19:00:00,-0.7830640366732272,0.08929311373316542
4101872,12,300,311,2025-01-24 20:00:00,2025-01-25 07:00:00,-0.9170957021110131,0.23134956272279558
4101872,12,312,323,2025-01-25 08:00:00,2025-01-25 19:00:00,-0.7918309771859176,0.09937787098794458
4101872,12,324,335,2025-01-25 20:00:00,2025-01-26 07:00:00,-0.9009466807822103,0.214515339244429
4101872,12,336,347,2025-01-26 08:00:00,2025-01-26 19:00:00,-0.7858795212336498,0.0938611181069463
4101872,12,348,359,2025-01-26 20:00:00,2025-01-27 07:00:00,-0.887333035385323,0.2005883114868825
4101872,12,360,371,2025-01-27 08:00:00,2025-01-27 19:00:00,-0.7132903603727162,0.017632020441124927
4101872,12,372,383,2025-01-27 20:00:00,2025-01-28 07:00:00,-0.883319222369902,0.1968818392224761
4101872,12,384,395,2025-01-28 08:00:00,2025-01-28 19:00:00,-0.7813596845363029,0.09102920631671302
4101872,12,396,407,2025-01-28 20:00:00,2025-01-29 07:00:00,-0.9107073533590583,0.22725269656160943
4101872,12,408,419,2025-01-29 08:00:00,2025-01-29 19:00:00,-0.8043923266672776,0.11295493633198506
4101872,12,420,431,2025-01-29 20:00:00,2025-01-30 07:00:00,-0.9515677971850184,0.26974360866778413
4101872,12,432,443,2025-01-30 08:00:00,2025-01-30 19:00:00,-0.8238621788928874,0.13322228199689296
4101872,12,444,455,2025-01-30 20:00:00,2025-01-31 07:00:00,-0.9064019806673579,0.2212435658292465
4101872,12,456,467,2025-01-31 08:00:00,2025-01-31 19:00:00,-0.8667090656519549,0.1787560198447587
4804126,12,0,11,2025-01-01 08:00:00,2025-01-01 19:00:00,-0.6555114613984425,-0.18024142321022973
4804126,12,12,23,2025-01-01 20:00:00,2025-01-02 07:00:00,-0.811083182720185,-0.01370112661447792
4804126,12,24,35,2025-01-02 08:00:00,2025-01-02 19:00:00,-0.8145181136510524,-0.010015861098344124
4804126,12,36,47,2025-01-02 20:00:00,2025-01-03 07:00:00,-0.8387814372136684,0.015917605013184198
