station,window_scale,start_idx,end_idx,start_time,end_time,latent_pc1,latent_pc2
4101871,72,12,83,2025-01-18 05:00:00,2025-01-21 04:00:00,-0.5372354,0.40807372
4101871,72,15,86,2025-01-18 08:00:00,2025-01-21 07:00:00,-0.55183166,0.4146744
4101871,72,18,89,2025-01-18 11:00:00,2025-01-21 10:00:00,-0.5219493,0.35272965
4101871,72,21,92,2025-01-18 14:00:00,2025-01-21 13:00:00,-0.522998,0.34477744
4101871,72,24,95,2025-01-18 17:00:00,2025-01-21 16:00:00,-0.5219836,0.3528453
4101871,72,27,98,2025-01-18 20:00:00,2025-01-21 19:00:00,-0.5353239,0.38360986
4101871,72,30,101,2025-01-18 23:00:00,2025-01-21 22:00:00,-0.5411599,0.40108365
4101871,72,33,104,2025-01-19 02:00:00,2025-01-22 01:00:00,-0.5244444,0.3785194
4101871,72,36,107,2025-01-19 05:00:00,2025-01-22 04:00:00,-0.5415256,0.40006897
4101871,72,39,110,2025-01-19 08:00:00,2025-01-22 07:00:00,-0.54270697,0.39082357
4101871,72,42,113,2025-01-19 11:00:00,2025-01-22 10:00:00,-0.5867657,0.32081312
4101871,72,45,116,2025-01-19 14:00:00,2025-01-22 13:00:00,-0.61284864,0.34550548
4101871,72,48,119,2025-01-19 17:00:00,2025-01-22 16:00:00,-0.66191953,0.3546731
4101871,72,51,122,2025-01-19 20:00:00,2025-01-22 19:00:00,-0.5588641,0.42875034
4101871,72,54,125,2025-01-19 23:00:00,2025-01-22 22:00:00,-0.55942607,0.4291722
4101871,72,57,128,2025-01-20 02:00:00,2025-01-23 01:00:00,-0.5666227,0.38072303
4101871,72,60,131,2025-01-20 05:00:00,2025-01-23 04:00:00,-0.5606614,0.4211896
4101871,72,63,134,2025-01-20 08:00:00,2025-01-23 07:00:00,-0.54326093,0.40848938
4101871,72,66,137,2025-01-20 11:00:00,2025-01-23 10:00:00,-0.5568479,0.4207891
4101871,72,69,140,2025-01-20 14:00:00,2025-01-23 13:00:00,-0.5830608,0.45927155
4101871,72,72,143,2025-01-20 17:00:00,2025-01-23 16:00:00,-0.6021977,0.47635165
4101871,72,75,146,2025-01-20 20:00:00,2025-01-23 19:00:00,-0.5385282,0.44027743
4101871,72,78,149,2025-01-20 23:00:00,2025-01-23 22:00:00,-0.6019484,0.47038326
4101871,72,81,152,2025-01-21 02:00:00,2025-01-24 01:00:00,-0.5854742,0.45850715
4101871,72,84,155,2025-01-21 05:00:00,2025-01-24 04:00:00,-0.5936453,0.45617017
